tam_loc_enh,est_socio_enh,genero,edad,parentesco,Residencia,esc-padre,Lengua_ing_m,esc_madre,esc-entrevistado,prom_edu_padre,dif_escp_esm,dif_resi
1,3,1,58,1,1,2,2,6,10,5,-4,0
1,3,1,49,3,,10,2,3,11,11,7,1
1,3,1,31,3,1,10,2,3,10,11,7,0
1,3,1,56,1,1,2,2,6,2,5,-4,0
1,3,2,52,3,1,2,2,6,10,5,-4,0
1,3,2,31,2,1,3,2,3,10,4,0,0
1,3,2,51,2,1,3,2,6,11,6,-3,0
1,3,1,45,1,1,5,2,6,4,8,-1,0
1,2,1,34,1,,2,2,3,3,3,-1,1
1,2,2,40,1,1,2,2,2,3,3,0,0
1,2,1,56,1,1,2,2,6,2,5,-4,0
1,3,2,52,3,1,3,2,3,5,4,0,0
1,3,2,38,2,1,2,2,4,10,4,-2,0
1,3,2,47,3,,2,2,3,2,3,-1,1
1,3,1,36,1,,3,2,2,10,4,1,1
1,3,2,46,1,,2,2,3,7,3,-1,1
1,3,2,43,2,,10,2,3,10,11,7,1
1,3,1,50,1,1,2,2,3,11,3,-1,0
1,3,1,48,1,1,2,2,3,11,3,-1,0
1,3,1,43,3,1,2,2,6,11,5,-4,0
1,3,1,28,4,1,11,2,3,8,12,8,0
1,3,2,36,1,1,11,2,3,11,12,8,0
1,3,2,43,2,1,3,2,6,10,6,-3,0
1,3,1,29,2,1,4,2,3,4,5,1,0
1,3,2,62,8,1,2,2,2,2,3,0,0
1,3,1,42,1,1,4,2,3,4,5,1,0
1,2,2,50,2,,2,2,4,2,4,-2,1
1,2,1,39,1,1,2,2,3,3,3,-1,0
1,2,2,58,2,1,2,2,2,2,3,0,0
1,3,2,33,2,,10,2,5,3,12,5,1
1,3,2,42,1,,2,2,6,4,5,-4,1
1,3,1,64,1,,2,2,2,3,3,0,1
1,3,1,25,3,1,10,2,3,10,11,7,0
1,3,1,50,3,1,7,2,6,10,10,1,0
1,3,2,32,2,,2,2,6,3,5,-4,1
1,3,1,57,1,1,4,2,5,11,6,-1,0
1,3,2,44,2,,4,2,3,10,5,1,1
1,3,1,43,1,1,2,2,6,4,5,-4,0
1,3,2,47,3,1,6,2,3,10,7,3,0
1,3,2,35,2,1,2,2,3,4,3,-1,0
1,3,2,35,1,,4,2,3,10,5,1,1
1,3,2,47,3,1,2,2,6,7,5,-4,0
1,3,2,30,1,,10,2,3,11,11,7,1
1,4,1,37,1,,10,2,3,10,11,7,1
1,4,2,53,1,,2,2,6,10,5,-4,1
1,4,1,50,1,,2,2,2,10,3,0,1
1,4,2,33,3,,10,2,3,10,11,7,1
1,3,2,31,3,1,2,2,6,4,5,-4,0
1,3,2,53,1,1,2,2,3,10,3,-1,0
1,3,2,47,2,,2,2,6,4,5,-4,1
1,3,1,43,3,,8,2,3,10,9,5,1
1,3,1,48,3,,2,2,2,3,3,0,1
1,3,2,38,2,,2,2,6,7,5,-4,1
1,3,1,41,1,,2,2,1,3,2,1,1
1,3,1,29,1,,10,2,3,4,11,7,1
1,3,2,38,2,1,2,2,6,10,5,-4,0
1,3,2,62,1,,9,2,3,10,10,6,1
1,3,2,51,2,1,2,2,3,7,3,-1,0
1,3,2,62,2,1,10,2,3,8,11,7,0
1,3,2,35,2,1,4,2,3,10,5,1,0
1,4,1,40,3,,3,2,3,3,4,0,1
1,4,1,50,2,,2,2,6,10,5,-4,1
1,4,2,43,3,,7,2,3,3,8,4,1
1,3,2,39,2,,2,2,2,10,3,0,1
1,3,1,46,1,,2,2,4,4,4,-2,1
1,3,2,36,3,1,2,2,3,10,3,-1,0
1,4,2,44,2,1,2,2,6,3,5,-4,0
1,4,2,59,1,,10,2,3,10,11,7,1
1,2,1,43,1,,10,2,3,10,11,7,1
1,2,1,53,1,1,2,2,6,4,5,-4,0
1,2,1,37,3,1,2,2,6,4,5,-4,0
1,2,2,29,1,1,2,2,3,4,3,-1,0
1,2,1,31,3,1,2,2,4,4,4,-2,0
1,3,1,60,1,,4,2,6,3,7,-2,1
1,2,1,60,1,,2,2,2,3,3,0,1
1,2,2,55,3,,2,2,3,2,3,-1,1
1,2,2,38,2,,2,2,5,4,4,-3,1
1,2,2,40,3,,2,2,3,2,3,-1,1
1,2,1,28,1,1,3,2,3,3,4,0,0
1,2,2,37,2,,2,2,6,2,5,-4,1
1,2,2,25,2,,2,2,3,2,3,-1,1
1,3,1,28,1,1,3,2,3,8,4,0,0
1,3,2,32,2,1,2,2,3,10,3,-1,0
1,3,1,35,1,1,2,2,3,9,3,-1,0
1,3,2,33,3,1,8,2,3,10,9,5,0
1,3,1,27,3,1,3,2,6,10,6,-3,0
1,2,1,26,3,1,2,2,3,4,3,-1,0
1,2,2,37,1,,2,2,3,3,3,-1,1
1,2,2,32,2,1,3,2,3,3,4,0,0
1,3,1,48,1,,3,2,6,10,6,-3,1
1,3,1,44,1,1,2,2,3,4,3,-1,0
1,3,2,39,2,1,2,2,1,10,2,1,0
1,3,2,57,2,,11,2,2,8,12,9,1
1,3,1,38,1,1,10,2,4,10,12,6,0
1,2,1,28,1,1,3,2,3,3,4,0,0
1,2,2,26,2,1,2,2,6,3,5,-4,0
1,4,1,42,3,1,2,2,5,3,4,-3,0
1,4,1,26,1,,10,2,5,7,12,5,1
1,3,2,46,2,1,2,2,6,7,5,-4,0
1,3,2,49,2,1,6,2,4,10,8,2,0
1,3,1,31,1,1,2,2,6,10,5,-4,0
1,3,2,33,5,1,10,2,6,10,13,4,0
1,2,1,44,3,,2,2,2,2,3,0,1
1,2,2,42,1,,2,2,3,3,3,-1,1
1,2,2,34,3,,2,2,3,10,3,-1,1
1,3,2,43,2,,10,2,2,11,11,8,1
1,3,2,29,5,,2,2,6,4,5,-4,1
1,3,2,56,1,,2,2,6,6,5,-4,1
1,3,2,32,2,,2,2,6,3,5,-4,1
1,3,2,63,2,,2,2,3,3,3,-1,1
1,3,2,31,2,,2,2,6,10,5,-4,1
1,3,2,31,2,,3,2,3,4,4,0,1
1,3,1,28,3,,8,2,3,10,9,5,1
1,2,1,29,3,1,2,2,6,3,5,-4,0
1,2,1,33,2,,2,2,3,3,3,-1,1
1,2,2,25,3,1,2,2,3,10,3,-1,0
1,2,2,42,3,1,2,2,3,4,3,-1,0
1,2,1,38,3,1,2,2,3,2,3,-1,0
1,3,1,61,1,,2,2,2,7,3,0,1
1,3,2,39,1,1,2,2,6,10,5,-4,0
1,3,1,36,1,1,2,2,6,3,5,-4,0
1,3,2,63,1,,2,2,2,2,3,0,1
1,2,2,33,2,1,2,2,6,3,5,-4,0
1,2,2,55,1,1,4,2,6,6,7,-2,0
1,2,1,27,1,1,3,2,6,3,6,-3,0
1,3,1,25,1,1,10,2,5,10,12,5,0
1,3,2,31,1,1,10,2,3,10,11,7,0
1,3,1,29,1,1,3,2,5,10,5,-2,0
1,3,2,45,3,1,2,2,6,2,5,-4,0
1,3,2,46,3,1,10,2,3,7,11,7,0
1,3,1,47,1,1,2,2,3,8,3,-1,0
1,3,2,32,2,1,3,2,3,4,4,0,0
1,3,1,25,3,1,3,2,6,4,6,-3,0
1,3,2,28,3,1,10,2,3,10,11,7,0
1,3,1,27,1,1,5,2,3,10,6,2,0
1,3,2,60,1,,2,2,3,2,3,-1,1
1,3,2,32,1,,3,2,6,3,6,-3,1
1,3,2,25,3,,3,2,3,10,4,0,1
1,3,2,55,1,,2,2,3,10,3,-1,1
1,3,2,63,1,,3,2,6,7,6,-3,1
1,3,2,49,1,,2,2,4,4,4,-2,1
1,3,1,47,8,,2,2,6,4,5,-4,1
1,3,1,62,1,,6,2,1,7,6,5,1
1,2,2,46,2,,2,2,6,3,5,-4,1
1,2,2,38,2,,2,2,6,2,5,-4,1
1,2,2,32,2,,3,2,2,3,4,1,1
1,2,1,45,1,,2,2,3,4,3,-1,1
